"","x"
"38","Zero presences for 29 anchoa mitchilli_Atl in DFO_Newfoundland, DFO_ScotianShelf, DFO_SoGulf, SCDNR_SEUS"
"39","Zero presences for 30 ancylopsetta dilecta_Atl in DFO_Newfoundland, DFO_ScotianShelf, DFO_SoGulf, SCDNR_SEUS, VIMS_NEAMAP"
"40","Zero presences for 31 ancylopsetta ommata_Atl in DFO_Newfoundland, DFO_ScotianShelf, DFO_SoGulf"
"41","Zero testing presences for 31 ancylopsetta ommata_Atl in VIMS_NEAMAP"
"42","Zero presences for 33 anthoptilum grandiflorum_Pac in AFSC_Aleutians, AFSC_EBS"
"43","Zero training presences for 33 anthoptilum grandiflorum_Pac in AFSC_WCTri"
"44","Zero presences for 34 antimora microlepis_Pac in AFSC_EBS"
"45","Zero testing presences for 34 antimora microlepis_Pac in AFSC_Aleutians"
"46","Zero presences for 35 antimora rostrata_Atl in DFO_SoGulf, SCDNR_SEUS, SEFSC_GOMex, VIMS_NEAMAP"
"47","Zero presences for 36 aphrocallistes vastus_Pac in NWFSC_WCAnn"
"48","Zero presences for 37 aphrodita negligens_Pac in NWFSC_WCAnn"
"49","Zero training presences for 37 aphrodita negligens_Pac in AFSC_WCTri"
"50","Zero presences for 38 apostichopus leukothele_Pac in AFSC_EBS"
"51","Zero testing presences for 38 apostichopus leukothele_Pac in AFSC_Aleutians"
"52","Zero presences for 39 apristurus brunneus_Pac in AFSC_Aleutians, AFSC_EBS"
"53","Zero testing presences for 39 apristurus brunneus_Pac in AFSC_GOA"
"54","Zero presences for 40 apristurus profundorum_Atl in DFO_SoGulf, NEFSC_NEUS, SCDNR_SEUS, SEFSC_GOMex, VIMS_NEAMAP"
"55","Zero presences for 41 aptocyclus ventricosus_Pac in AFSC_WCTri, NWFSC_WCAnn"
"56","Zero presences for 42 archosargus probatocephalus_Atl in DFO_Newfoundland, DFO_ScotianShelf, DFO_SoGulf"
"57","Zero presences for 43 arctomelon stearnsii_Pac in AFSC_WCTri, NWFSC_WCAnn"
"58","Zero presences for 44 arctozenus risso_Atl in DFO_Newfoundland, DFO_SoGulf, SCDNR_SEUS, SEFSC_GOMex, VIMS_NEAMAP"
"59","Zero presences for 45 arenaeus cribrarius_Atl in DFO_Newfoundland, DFO_ScotianShelf, DFO_SoGulf, VIMS_NEAMAP"
"60","Zero presences for 46 argentina sialis_Pac in AFSC_Aleutians, AFSC_EBS"
"61","Zero testing presences for 46 argentina sialis_Pac in AFSC_GOA"
"62","Zero presences for 47 argentina silus_Atl in DFO_SoGulf, SCDNR_SEUS, SEFSC_GOMex, VIMS_NEAMAP"
"63","Zero presences for 48 argis dentata_Atl in DFO_SoGulf, NEFSC_NEUS, SCDNR_SEUS, SEFSC_GOMex, VIMS_NEAMAP"
"64","Zero training presences for 48 argis dentata_Atl in DFO_ScotianShelf"
"65","Error in training gam fitting for 48 argis dentata_Atl : Error in `contrasts<-`(`*tmp*`, value = contr.funs[1 + isOF[nn]]): contrasts can be applied only to factors with 2 or more levels
"
"66","Zero presences for 49 argis dentata_Pac in AFSC_WCTri, NWFSC_WCAnn"
"67","Zero presences for 50 argis lar_Pac in AFSC_WCTri, NWFSC_WCAnn"
"68","Zero testing presences for 50 argis lar_Pac in AFSC_Aleutians, AFSC_GOA"
"69","Zero presences for 51 argopecten gibbus_Atl in DFO_Newfoundland, DFO_ScotianShelf, DFO_SoGulf, SCDNR_SEUS, VIMS_NEAMAP"
"70","Zero presences for 52 ariopsis felis_Atl in DFO_Newfoundland, DFO_ScotianShelf, DFO_SoGulf, VIMS_NEAMAP"
"71","Zero testing presences for 52 ariopsis felis_Atl in NEFSC_NEUS"
"72","Zero presences for 53 artediellus uncinatus_Atl in DFO_Newfoundland, DFO_SoGulf, NEFSC_NEUS, SCDNR_SEUS, SEFSC_GOMex, VIMS_NEAMAP"
"73","Zero presences for 54 aspidophoroides bartoni_Pac in AFSC_WCTri, NWFSC_WCAnn"
"74","Zero presences for 55 aspidophoroides monopterygius_Atl in DFO_SoGulf, SCDNR_SEUS, SEFSC_GOMex, VIMS_NEAMAP"
"75","Zero presences for 56 aspidophoroides olrikii_Atl in DFO_SoGulf, NEFSC_NEUS, SCDNR_SEUS, SEFSC_GOMex, VIMS_NEAMAP"
"76","Zero presences for 57 asterias amurensis_Pac in NWFSC_WCAnn"
"77","Zero training presences for 57 asterias amurensis_Pac in AFSC_WCTri"
"78","Zero presences for 58 astropecten cingulatus_Atl in DFO_Newfoundland, DFO_ScotianShelf, DFO_SoGulf, NEFSC_NEUS, SCDNR_SEUS, VIMS_NEAMAP"
"79","Zero presences for 59 astropecten duplicatus_Atl in DFO_Newfoundland, DFO_ScotianShelf, DFO_SoGulf, NEFSC_NEUS, SCDNR_SEUS, VIMS_NEAMAP"
"80","Zero presences for 60 atheresthes stomias_Pac in AFSC_Aleutians, AFSC_EBS, AFSC_GOA"
"81","Zero presences for 61 atlantopandalus propinqvus_Atl in DFO_SoGulf, SCDNR_SEUS, SEFSC_GOMex, VIMS_NEAMAP"
"82","Zero presences for 62 bagre marinus_Atl in DFO_Newfoundland, DFO_ScotianShelf, DFO_SoGulf, VIMS_NEAMAP"
"83","Zero testing presences for 62 bagre marinus_Atl in NEFSC_NEUS"
"84","Zero presences for 63 bairdiella chrysoura_Atl in DFO_Newfoundland, DFO_ScotianShelf, DFO_SoGulf"
"85","Zero presences for 64 balistes capriscus_Atl in DFO_Newfoundland, DFO_SoGulf"
"86","Zero testing presences for 64 balistes capriscus_Atl in DFO_ScotianShelf"
"87","Zero testing presences for 65 bathyagonus nigripinnis_Pac in AFSC_EBS"
"88","Zero presences for 66 bathybembix bairdii_Pac in AFSC_Aleutians, AFSC_EBS"
"89","Zero presences for 67 bathylagus euryops_Atl in DFO_SoGulf, NEFSC_NEUS, SCDNR_SEUS, SEFSC_GOMex, VIMS_NEAMAP"
"90","Zero training presences for 68 bathymaster signatus_Pac in NWFSC_WCAnn"
"91","Zero presences for 69 bathypolypus arcticus_Atl in DFO_ScotianShelf, DFO_SoGulf, SCDNR_SEUS, SEFSC_GOMex, VIMS_NEAMAP"
"92","Zero presences for 70 bathyraja spinicauda_Atl in DFO_SoGulf, NEFSC_NEUS, SCDNR_SEUS, SEFSC_GOMex, VIMS_NEAMAP"
"93","Zero testing presences for 70 bathyraja spinicauda_Atl in DFO_ScotianShelf"
"94","Zero presences for 71 bellator militaris_Atl in DFO_Newfoundland, DFO_ScotianShelf, DFO_SoGulf, SCDNR_SEUS, VIMS_NEAMAP"
"95","Zero presences for 72 beringius behringi_Pac in AFSC_WCTri, NWFSC_WCAnn"
"96","Zero training presences for 72 beringius behringi_Pac in AFSC_GOA"
"97","Zero testing presences for 72 beringius behringi_Pac in AFSC_Aleutians"
"98","Zero presences for 74 bollmannia communis_Atl in DFO_Newfoundland, DFO_ScotianShelf, DFO_SoGulf, NEFSC_NEUS, SCDNR_SEUS, VIMS_NEAMAP"
"99","Zero presences for 75 boltenia ovifera_Pac in AFSC_WCTri, NWFSC_WCAnn"
"100","Zero testing presences for 75 boltenia ovifera_Pac in AFSC_Aleutians, AFSC_GOA"
"101","Zero presences for 76 boreogadus saida_Atl in DFO_ScotianShelf, DFO_SoGulf, NEFSC_NEUS, SCDNR_SEUS, SEFSC_GOMex, VIMS_NEAMAP"
"102","Zero presences for 77 boreogadus saida_Pac in AFSC_Aleutians, AFSC_GOA, AFSC_WCTri, NWFSC_WCAnn"
"103","Zero presences for 78 bothrocara brunneum_Pac in AFSC_EBS"
"104","Zero presences for 79 bregmaceros atlanticus_Atl in DFO_Newfoundland, DFO_ScotianShelf, DFO_SoGulf, NEFSC_NEUS, SCDNR_SEUS, VIMS_NEAMAP"
"105","Zero presences for 80 brevoortia patronus_Atl in DFO_Newfoundland, DFO_ScotianShelf, DFO_SoGulf, NEFSC_NEUS, SCDNR_SEUS, VIMS_NEAMAP"
"106","Zero presences for 81 brevoortia tyrannus_Atl in DFO_Newfoundland, DFO_SoGulf"
"107","Zero training presences for 81 brevoortia tyrannus_Atl in SEFSC_GOMex"
"108","Zero testing presences for 81 brevoortia tyrannus_Atl in DFO_ScotianShelf"
"109","Zero presences for 82 brisaster latifrons_Pac in AFSC_EBS"
"110","Zero training presences for 82 brisaster latifrons_Pac in AFSC_Aleutians"
"111","Zero presences for 83 brosme brosme_Atl in DFO_SoGulf, SCDNR_SEUS, SEFSC_GOMex, VIMS_NEAMAP"
"112","Zero presences for 84 brotula barbata_Atl in DFO_Newfoundland, DFO_ScotianShelf, DFO_SoGulf, NEFSC_NEUS, SCDNR_SEUS, VIMS_NEAMAP"
"113","Zero presences for 85 buccinum angulosum_Pac in AFSC_Aleutians, AFSC_GOA, AFSC_WCTri, NWFSC_WCAnn"
"114","Zero presences for 86 buccinum plectrum_Pac in AFSC_WCTri, NWFSC_WCAnn"
"115","Zero testing presences for 86 buccinum plectrum_Pac in AFSC_Aleutians"
"116","Zero presences for 87 buccinum polare_Pac in AFSC_Aleutians, AFSC_GOA, AFSC_WCTri, NWFSC_WCAnn"
"117","Zero presences for 88 buccinum scalariforme_Pac in AFSC_WCTri, NWFSC_WCAnn"
"118","Zero presences for 89 calamus leucosteus_Atl in DFO_Newfoundland, DFO_ScotianShelf, DFO_SoGulf, VIMS_NEAMAP"
"119","Zero presences for 90 calamus proridens_Atl in DFO_Newfoundland, DFO_ScotianShelf, DFO_SoGulf, SCDNR_SEUS, VIMS_NEAMAP"
"120","Zero testing presences for 90 calamus proridens_Atl in NEFSC_NEUS"
"121","Zero presences for 91 calappa flammea_Atl in DFO_Newfoundland, DFO_ScotianShelf, DFO_SoGulf, VIMS_NEAMAP"
"122","Zero testing presences for 91 calappa flammea_Atl in NEFSC_NEUS"
